valor_entrada,encoder_roda1,encoder_roda2,dt
240,0,0,0.1
240,301,329,0.1
240,456,487,0.1
240,470,498,0.1
240,473,501,0.1
73,472,502,0.1
73,238,232,0.1
73,121,123,0.1
73,115,119,0.1
73,115,121,0.1
27,115,119,0.1
27,50,49,0.1
27,22,24,0.1
27,22,22,0.1
27,22,23,0.1
145,23,22,0.1
145,184,197,0.1
145,264,275,0.1
145,269,279,0.1
145,271,279,0.1
170,270,280,0.1
170,306,319,0.1
170,327,338,0.1
170,330,340,0.1
170,329,340,0.1
7,331,340,0.1
7,88,75,0.1
7,0,0,0.1
7,0,0,0.1
7,0,0,0.1
200,0,0,0.1
200,251,271,0.1
200,382,402,0.1
200,389,410,0.1
200,395,412,0.1
127,395,414,0.1
127,289,293,0.1
127,236,239,0.1
127,233,237,0.1
127,233,236,0.1
131,233,236,0.1
131,238,240,0.1
131,241,243,0.1
131,243,242,0.1
131,243,239,0.1
210,241,239,0.1
210,352,348,0.1
210,410,410,0.1
210,415,414,0.1
210,417,411,0.1
155,418,415,0.1
155,340,336,0.1
155,299,289,0.1
155,297,291,0.1
155,299,293,0.1
21,298,291,0.1
21,99,90,0.1
21,11,7,0.1
21,10,5,0.1
21,10,4,0.1
20,9,0,0.1
20,8,1,0.1
20,8,0,0.1
20,9,0,0.1
20,9,0,0.1
152,9,0,0.1
152,192,184,0.1
152,284,275,0.1
152,291,280,0.1
152,292,280,0.1
12,292,278,0.1
12,83,71,0.1
12,0,0,0.1
12,0,0,0.1
12,0,0,0.1
77,0,0,0.1
77,85,81,0.1
77,125,116,0.1
77,125,122,0.1
77,127,125,0.1
187,127,126,0.1
187,282,291,0.1
187,363,367,0.1
187,368,365,0.1
187,371,360,0.1
123,371,358,0.1
123,277,266,0.1
123,229,220,0.1
123,226,217,0.1
123,226,216,0.1
29,227,217,0.1
29,89,85,0.1
29,29,16,0.1
29,28,12,0.1
29,28,10,0.1
218,28,9,0.1
218,289,280,0.1
218,422,416,0.1
218,434,428,0.1
218,434,427,0.1
138,433,426,0.1
138,321,313,0.1
138,262,255,0.1
138,258,250,0.1
138,259,250,0.1
157,258,251,0.1
157,287,277,0.1
157,301,292,0.1
157,304,291,0.1
157,302,289,0.1
117,303,291,0.1
117,244,236,0.1
117,215,208,0.1
117,213,203,0.1
117,213,209,0.1
80,213,211,0.1
80,161,153,0.1
80,135,130,0.1
80,134,131,0.1
80,134,131,0.1
182,133,130,0.1
182,280,283,0.1
182,355,349,0.1
182,361,353,0.1
182,362,353,0.1
22,361,351,0.1
22,123,109,0.1
22,17,11,0.1
22,15,8,0.1
22,13,7,0.1
13,15,8,0.1
13,2,1,0.1
13,0,0,0.1
13,0,0,0.1
13,0,0,0.1
56,1,0,0.1
56,59,47,0.1
56,82,76,0.1
56,84,78,0.1
56,85,79,0.1
155,84,79,0.1
155,223,216,0.1
155,295,285,0.1
155,300,288,0.1
155,301,288,0.1
228,300,290,0.1
228,401,384,0.1
228,454,439,0.1
228,458,442,0.1
228,462,445,0.1
219,461,444,0.1
219,448,432,0.1
219,441,427,0.1
219,440,426,0.1
219,440,426,0.1
201,443,428,0.1
201,416,408,0.1
201,403,392,0.1
201,402,386,0.1
201,402,385,0.1
193,402,385,0.1
193,391,376,0.1
193,385,371,0.1
193,383,371,0.1
193,384,368,0.1
128,385,368,0.1
128,288,279,0.1
128,240,237,0.1
128,238,236,0.1
128,238,234,0.1
196,238,236,0.1
196,332,342,0.1
196,386,385,0.1
196,392,374,0.1
196,391,380,0.1
41,393,383,0.1
41,164,148,0.1
41,56,45,0.1
41,51,40,0.1
41,52,38,0.1
196,52,39,0.1
196,267,267,0.1
196,381,374,0.1
196,390,375,0.1
196,393,379,0.1
237,393,380,0.1
237,446,426,0.1
237,474,454,0.1
237,479,461,0.1
237,477,459,0.1
227,479,459,0.1
227,467,451,0.1
227,461,439,0.1
227,460,438,0.1
227,458,438,0.1
61,460,438,0.1
61,221,198,0.1
61,99,91,0.1
61,93,90,0.1
61,94,89,0.1
43,93,86,0.1
43,67,59,0.1
43,56,47,0.1
43,55,46,0.1
43,55,45,0.1
110,56,44,0.1
110,149,140,0.1
110,196,187,0.1
110,201,189,0.1
110,202,194,0.1
130,202,200,0.1
130,228,222,0.1
130,239,236,0.1
130,242,236,0.1
130,242,236,0.1
122,243,234,0.1
122,230,223,0.1
122,225,215,0.1
122,225,215,0.1
122,224,213,0.1
4,225,212,0.1
4,53,46,0.1
4,0,0,0.1
4,0,0,0.1
4,0,0,0.1
213,0,0,0.1
213,271,267,0.1
213,413,403,0.1
213,426,413,0.1
213,429,409,0.1
190,428,418,0.1
190,397,400,0.1
190,379,382,0.1
190,378,374,0.1
190,378,368,0.1
171,379,365,0.1
171,350,338,0.1
171,337,323,0.1
171,337,319,0.1
171,337,319,0.1
216,337,325,0.1
216,398,383,0.1
216,433,423,0.1
216,438,432,0.1
216,439,432,0.1
82,441,433,0.1
82,244,232,0.1
82,143,136,0.1
82,138,130,0.1
82,138,135,0.1
