# valor_entrada, encoder_rodaEsquerda, encoder_rodaDireita, dt
7.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01
7.800000000000000000e+01,-1.360000000000000000e+02,1.460000000000000000e+02,1.000000000000000056e-01
7.800000000000000000e+01,-2.000000000000000000e+02,2.100000000000000000e+02,1.000000000000000056e-01
7.800000000000000000e+01,-2.000000000000000000e+02,2.110000000000000000e+02,1.000000000000000056e-01
7.800000000000000000e+01,-2.000000000000000000e+02,2.110000000000000000e+02,1.000000000000000056e-01
5.700000000000000000e+01,-2.000000000000000000e+02,2.100000000000000000e+02,1.000000000000000056e-01
5.700000000000000000e+01,-1.580000000000000000e+02,1.630000000000000000e+02,1.000000000000000056e-01
5.700000000000000000e+01,-1.390000000000000000e+02,1.430000000000000000e+02,1.000000000000000056e-01
5.700000000000000000e+01,-1.360000000000000000e+02,1.410000000000000000e+02,1.000000000000000056e-01
5.700000000000000000e+01,-1.360000000000000000e+02,1.420000000000000000e+02,1.000000000000000056e-01
0.000000000000000000e+00,-1.360000000000000000e+02,1.410000000000000000e+02,1.000000000000000056e-01
0.000000000000000000e+00,-2.400000000000000000e+01,2.300000000000000000e+01,1.000000000000000056e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01
1.860000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01
1.860000000000000000e+02,-3.500000000000000000e+02,3.730000000000000000e+02,1.000000000000000056e-01
1.860000000000000000e+02,-5.380000000000000000e+02,5.530000000000000000e+02,1.000000000000000056e-01
1.860000000000000000e+02,-5.530000000000000000e+02,5.670000000000000000e+02,1.000000000000000056e-01
1.860000000000000000e+02,-5.550000000000000000e+02,5.700000000000000000e+02,1.000000000000000056e-01
2.380000000000000000e+02,-5.560000000000000000e+02,5.730000000000000000e+02,1.000000000000000056e-01
2.380000000000000000e+02,-6.510000000000000000e+02,6.730000000000000000e+02,1.000000000000000056e-01
2.380000000000000000e+02,-7.050000000000000000e+02,7.350000000000000000e+02,1.000000000000000056e-01
2.380000000000000000e+02,-7.200000000000000000e+02,7.470000000000000000e+02,1.000000000000000056e-01
2.380000000000000000e+02,-7.230000000000000000e+02,7.520000000000000000e+02,1.000000000000000056e-01
1.480000000000000000e+02,-7.260000000000000000e+02,7.520000000000000000e+02,1.000000000000000056e-01
1.480000000000000000e+02,-5.430000000000000000e+02,5.570000000000000000e+02,1.000000000000000056e-01
1.480000000000000000e+02,-4.360000000000000000e+02,4.480000000000000000e+02,1.000000000000000056e-01
1.480000000000000000e+02,-4.280000000000000000e+02,4.400000000000000000e+02,1.000000000000000056e-01
1.480000000000000000e+02,-4.290000000000000000e+02,4.380000000000000000e+02,1.000000000000000056e-01
2.900000000000000000e+01,-4.280000000000000000e+02,4.370000000000000000e+02,1.000000000000000056e-01
2.900000000000000000e+01,-1.760000000000000000e+02,1.770000000000000000e+02,1.000000000000000056e-01
2.900000000000000000e+01,-5.500000000000000000e+01,5.800000000000000000e+01,1.000000000000000056e-01
2.900000000000000000e+01,-4.900000000000000000e+01,5.300000000000000000e+01,1.000000000000000056e-01
2.900000000000000000e+01,-5.000000000000000000e+01,5.400000000000000000e+01,1.000000000000000056e-01
1.590000000000000000e+02,-5.000000000000000000e+01,5.400000000000000000e+01,1.000000000000000056e-01
1.590000000000000000e+02,-3.140000000000000000e+02,3.300000000000000000e+02,1.000000000000000056e-01
1.590000000000000000e+02,-4.510000000000000000e+02,4.640000000000000000e+02,1.000000000000000056e-01
1.590000000000000000e+02,-4.610000000000000000e+02,4.720000000000000000e+02,1.000000000000000056e-01
1.590000000000000000e+02,-4.630000000000000000e+02,4.730000000000000000e+02,1.000000000000000056e-01
5.600000000000000000e+01,-4.630000000000000000e+02,4.750000000000000000e+02,1.000000000000000056e-01
5.600000000000000000e+01,-2.460000000000000000e+02,2.480000000000000000e+02,1.000000000000000056e-01
5.600000000000000000e+01,-1.400000000000000000e+02,1.430000000000000000e+02,1.000000000000000056e-01
5.600000000000000000e+01,-1.340000000000000000e+02,1.400000000000000000e+02,1.000000000000000056e-01
5.600000000000000000e+01,-1.330000000000000000e+02,1.400000000000000000e+02,1.000000000000000056e-01
2.420000000000000000e+02,-1.330000000000000000e+02,1.390000000000000000e+02,1.000000000000000056e-01
2.420000000000000000e+02,-5.030000000000000000e+02,5.250000000000000000e+02,1.000000000000000056e-01
2.420000000000000000e+02,-7.050000000000000000e+02,7.370000000000000000e+02,1.000000000000000056e-01
2.420000000000000000e+02,-7.330000000000000000e+02,7.580000000000000000e+02,1.000000000000000056e-01
2.420000000000000000e+02,-7.370000000000000000e+02,7.610000000000000000e+02,1.000000000000000056e-01
5.700000000000000000e+01,-7.410000000000000000e+02,7.620000000000000000e+02,1.000000000000000056e-01
5.700000000000000000e+01,-3.560000000000000000e+02,3.520000000000000000e+02,1.000000000000000056e-01
5.700000000000000000e+01,-1.480000000000000000e+02,1.520000000000000000e+02,1.000000000000000056e-01
