# valor_entrada, encoder_rodaEsquerda, encoder_rodaDireita, dt
189,88,59,0.1
189,320,273,0.1
189,493,344,0.1
189,522,441,0.1
189,547,458,0.1
253,546,488,0.1
253,660,534,0.1
253,729,614,0.1
253,743,663,0.1
253,749,638,0.1
156,755,636,0.1
156,576,520,0.1
156,469,356,0.1
156,451,368,0.1
156,449,328,0.1
209,444,331,0.1
209,541,406,0.1
209,599,478,0.1
209,608,487,0.1
209,611,510,0.1
106,612,540,0.1
106,415,372,0.1
106,301,251,0.1
106,288,210,0.1
106,281,210,0.1
166,273,222,0.1
166,382,279,0.1
166,449,366,0.1
166,460,376,0.1
166,464,349,0.1
168,465,384,0.1
168,472,338,0.1
168,472,380,0.1
168,474,367,0.1
168,473,375,0.1
72,474,369,0.1
72,286,221,0.1
72,192,162,0.1
72,174,153,0.1
72,169,160,0.1
126,171,149,0.1
126,268,224,0.1
126,328,241,0.1
126,333,260,0.1
126,341,284,0.1
212,340,225,0.1
212,487,392,0.1
212,590,453,0.1
212,606,500,0.1
212,608,520,0.1
212,615,521,0.1
212,616,503,0.1
212,615,513,0.1
212,614,518,0.1
212,614,532,0.1
31,611,546,0.1
31,262,201,0.1
31,82,78,0.1
31,57,53,0.1
31,46,48,0.1
205,45,46,0.1
205,361,294,0.1
205,534,384,0.1
205,568,473,0.1
205,585,476,0.1
121,593,485,0.1
121,431,365,0.1
121,343,251,0.1
121,330,197,0.1
121,330,244,0.1
96,325,266,0.1
96,274,214,0.1
96,253,197,0.1
96,244,179,0.1
96,238,194,0.1
93,243,191,0.1
93,243,172,0.1
93,240,149,0.1
93,235,185,0.1
93,236,217,0.1
230,237,187,0.1
230,475,353,0.1
230,622,522,0.1
230,642,559,0.1
230,655,597,0.1
214,666,573,0.1
214,639,552,0.1
214,624,539,0.1
214,622,520,0.1
214,619,515,0.1
196,618,535,0.1
196,592,486,0.1
196,571,467,0.1
196,568,461,0.1
196,571,468,0.1
158,564,447,0.1
158,496,441,0.1
158,454,376,0.1
158,445,325,0.1
158,442,339,0.1
180,439,356,0.1
180,480,370,0.1
180,504,382,0.1
180,507,391,0.1
180,502,366,0.1
87,510,360,0.1
87,336,237,0.1
87,237,240,0.1
87,220,166,0.1
87,214,229,0.1
204,215,177,0.1
204,428,287,0.1
204,545,466,0.1
204,577,481,0.1
204,584,487,0.1
1,590,478,0.1
1,179,162,0.1
1,0,0,0.1
1,0,0,0.1
1,0,0,0.1
42,0,0,0.1
42,49,48,0.1
42,76,68,0.1
42,78,78,0.1
42,80,78,0.1
209,78,80,0.1
209,380,320,0.1
209,550,454,0.1
209,582,504,0.1
209,606,508,0.1
203,608,503,0.1
203,596,510,0.1
203,599,509,0.1
203,593,483,0.1
203,594,492,0.1
48,600,512,0.1
48,288,244,0.1
48,134,71,0.1
48,105,99,0.1
48,100,96,0.1
30,98,99,0.1
30,66,68,0.1
30,47,46,0.1
30,44,42,0.1
30,44,45,0.1
57,45,45,0.1
57,90,89,0.1
57,122,121,0.1
57,126,123,0.1
57,126,121,0.1
81,127,121,0.1
81,167,163,0.1
81,194,172,0.1
81,201,181,0.1
81,202,173,0.1
74,199,165,0.1
74,186,156,0.1
74,182,151,0.1
74,182,177,0.1
74,180,159,0.1
167,180,148,0.1
167,340,275,0.1
167,445,353,0.1
167,463,364,0.1
167,471,399,0.1
238,474,332,0.1
238,594,484,0.1
238,664,539,0.1
238,681,576,0.1
238,693,593,0.1
31,692,626,0.1
31,294,201,0.1
31,85,80,0.1
31,63,58,0.1
31,47,48,0.1
70,45,47,0.1
70,111,118,0.1
70,157,147,0.1
70,161,137,0.1
70,163,153,0.1
246,166,147,0.1
246,481,405,0.1
246,661,589,0.1
246,696,645,0.1
246,709,618,0.1
12,718,616,0.1
12,263,213,0.1
12,25,24,0.1
12,9,5,0.1
12,0,0,0.1
124,0,1,0.1
124,193,169,0.1
124,300,252,0.1
124,321,240,0.1
124,328,213,0.1
46,335,272,0.1
46,189,133,0.1
46,110,92,0.1
46,95,69,0.1
46,93,92,0.1
176,90,91,0.1
176,320,290,0.1
176,453,364,0.1
176,490,399,0.1
176,495,398,0.1
240,503,362,0.1
240,608,528,0.1
240,679,594,0.1
240,693,620,0.1
240,699,612,0.1
72,700,612,0.1
72,383,333,0.1
72,204,146,0.1
72,184,160,0.1
72,170,142,0.1
177,168,134,0.1
177,352,253,0.1
177,468,391,0.1
177,490,388,0.1
177,503,402,0.1
231,496,339,0.1
231,592,425,0.1
231,649,559,0.1
231,663,591,0.1
231,668,593,0.1
153,672,531,0.1
153,529,457,0.1
153,447,369,0.1
153,431,326,0.1
153,427,311,0.1
245,423,362,0.1
245,584,527,0.1
245,684,629,0.1
245,699,627,0.1
245,709,667,0.1
224,717,612,0.1
224,682,574,0.1
224,659,571,0.1
224,656,582,0.1
224,656,582,0.1
162,656,607,0.1
162,542,479,0.1
162,474,396,0.1
162,457,365,0.1
162,458,367,0.1
208,451,358,0.1
208,536,475,0.1
208,584,481,0.1
208,597,517,0.1
208,607,523,0.1
