# valor_entrada, encoder_rodaEsquerda, encoder_rodaDireita, dt
7.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01
7.800000000000000000e+01,1.390000000000000000e+02,-1.500000000000000000e+02,1.000000000000000056e-01
7.800000000000000000e+01,2.060000000000000000e+02,-2.200000000000000000e+02,1.000000000000000056e-01
7.800000000000000000e+01,2.090000000000000000e+02,-2.250000000000000000e+02,1.000000000000000056e-01
7.800000000000000000e+01,2.080000000000000000e+02,-2.230000000000000000e+02,1.000000000000000056e-01
1.050000000000000000e+02,2.070000000000000000e+02,-2.230000000000000000e+02,1.000000000000000056e-01
1.050000000000000000e+02,2.630000000000000000e+02,-2.830000000000000000e+02,1.000000000000000056e-01
1.050000000000000000e+02,2.910000000000000000e+02,-3.110000000000000000e+02,1.000000000000000056e-01
1.050000000000000000e+02,2.920000000000000000e+02,-3.130000000000000000e+02,1.000000000000000056e-01
1.050000000000000000e+02,2.920000000000000000e+02,-3.140000000000000000e+02,1.000000000000000056e-01
1.270000000000000000e+02,2.920000000000000000e+02,-3.130000000000000000e+02,1.000000000000000056e-01
1.270000000000000000e+02,3.380000000000000000e+02,-3.630000000000000000e+02,1.000000000000000056e-01
1.270000000000000000e+02,3.620000000000000000e+02,-3.920000000000000000e+02,1.000000000000000056e-01
1.270000000000000000e+02,3.640000000000000000e+02,-3.920000000000000000e+02,1.000000000000000056e-01
1.270000000000000000e+02,3.640000000000000000e+02,-3.930000000000000000e+02,1.000000000000000056e-01
1.360000000000000000e+02,3.640000000000000000e+02,-3.920000000000000000e+02,1.000000000000000056e-01
1.360000000000000000e+02,3.810000000000000000e+02,-4.120000000000000000e+02,1.000000000000000056e-01
1.360000000000000000e+02,3.920000000000000000e+02,-4.220000000000000000e+02,1.000000000000000056e-01
1.360000000000000000e+02,3.910000000000000000e+02,-4.230000000000000000e+02,1.000000000000000056e-01
1.360000000000000000e+02,3.910000000000000000e+02,-4.220000000000000000e+02,1.000000000000000056e-01
5.800000000000000000e+01,3.930000000000000000e+02,-4.210000000000000000e+02,1.000000000000000056e-01
5.800000000000000000e+01,2.300000000000000000e+02,-2.480000000000000000e+02,1.000000000000000056e-01
5.800000000000000000e+01,1.480000000000000000e+02,-1.600000000000000000e+02,1.000000000000000056e-01
5.800000000000000000e+01,1.440000000000000000e+02,-1.550000000000000000e+02,1.000000000000000056e-01
5.800000000000000000e+01,1.420000000000000000e+02,-1.560000000000000000e+02,1.000000000000000056e-01
9.600000000000000000e+01,1.410000000000000000e+02,-1.550000000000000000e+02,1.000000000000000056e-01
9.600000000000000000e+01,2.200000000000000000e+02,-2.390000000000000000e+02,1.000000000000000056e-01
9.600000000000000000e+01,2.610000000000000000e+02,-2.810000000000000000e+02,1.000000000000000056e-01
9.600000000000000000e+01,2.630000000000000000e+02,-2.830000000000000000e+02,1.000000000000000056e-01
9.600000000000000000e+01,2.620000000000000000e+02,-2.850000000000000000e+02,1.000000000000000056e-01
1.880000000000000000e+02,2.630000000000000000e+02,-2.840000000000000000e+02,1.000000000000000056e-01
1.880000000000000000e+02,4.500000000000000000e+02,-4.830000000000000000e+02,1.000000000000000056e-01
1.880000000000000000e+02,5.500000000000000000e+02,-6.000000000000000000e+02,1.000000000000000056e-01
