# valor_entrada, encoder_rodaEsquerda, encoder_rodaDireita, dt
157,37,-2128,0.1
157,280,-250,0.1
157,429,-330,0.1
157,444,-364,0.1
157,446,-383,0.1
67,447,-386,0.1
67,271,-262,0.1
67,180,-180,0.1
67,163,-92,0.1
67,159,-134,0.1
179,155,-176,0.1
179,370,-346,0.1
179,489,-392,0.1
179,500,-437,0.1
179,513,-471,0.1
77,509,-479,0.1
77,312,-280,0.1
77,204,-223,0.1
77,190,-178,0.1
77,191,-155,0.1
121,189,-187,0.1
121,271,-186,0.1
121,316,-237,0.1
121,321,-296,0.1
121,316,-303,0.1
144,318,-280,0.1
144,361,-320,0.1
144,384,-390,0.1
144,392,-362,0.1
144,392,-359,0.1
172,389,-377,0.1
172,441,-411,0.1
172,473,-452,0.1
172,481,-452,0.1
172,484,-449,0.1
229,479,-409,0.1
229,587,-537,0.1
229,658,-585,0.1
229,674,-576,0.1
229,673,-651,0.1
22,675,-606,0.1
22,277,-264,0.1
22,57,-58,0.1
22,26,-47,0.1
22,20,-18,0.1
210,22,-19,0.1
210,376,-263,0.1
210,567,-449,0.1
210,601,-458,0.1
210,611,-546,0.1
187,617,-576,0.1
187,568,-505,0.1
187,539,-447,0.1
187,539,-457,0.1
187,530,-430,0.1
35,533,-435,0.1
35,241,-248,0.1
35,90,-87,0.1
35,64,-77,0.1
35,60,-43,0.1
190,60,-30,0.1
190,352,-267,0.1
190,508,-402,0.1
190,532,-444,0.1
190,542,-489,0.1
15,542,-458,0.1
15,201,-226,0.1
15,25,-18,0.1
15,3,-12,0.1
15,0,-1,0.1
207,0,0,0.1
207,362,-351,0.1
207,563,-421,0.1
207,585,-463,0.1
207,594,-489,0.1
173,601,-537,0.1
173,540,-505,0.1
173,498,-476,0.1
173,487,-472,0.1
173,489,-508,0.1
110,481,-459,0.1
110,369,-362,0.1
110,292,-288,0.1
110,291,-273,0.1
110,288,-249,0.1
145,285,-308,0.1
145,352,-285,0.1
145,384,-376,0.1
145,387,-383,0.1
145,395,-389,0.1
161,390,-395,0.1
161,429,-429,0.1
161,441,-442,0.1
161,446,-443,0.1
161,443,-424,0.1
235,444,-393,0.1
235,582,-517,0.1
235,668,-544,0.1
235,686,-624,0.1
235,693,-696,0.1
48,697,-714,0.1
48,339,-339,0.1
48,139,-126,0.1
48,111,-56,0.1
48,102,-54,0.1
86,101,-76,0.1
86,170,-139,0.1
86,212,-210,0.1
86,213,-193,0.1
86,210,-183,0.1
235,219,-179,0.1
235,494,-469,0.1
235,657,-615,0.1
235,684,-557,0.1
235,693,-641,0.1
41,698,-702,0.1
41,319,-301,0.1
41,121,-123,0.1
41,93,-98,0.1
41,79,-75,0.1
27,80,-141,0.1
27,53,-57,0.1
27,36,-26,0.1
27,35,-18,0.1
27,35,-41,0.1
169,32,-45,0.1
169,752,-696,0.1
169,466,-424,0.1
169,473,-452,0.1
169,471,-420,0.1
222,473,-477,0.1
222,577,-568,0.1
222,644,-586,0.1
222,656,-589,0.1
222,659,-635,0.1
34,665,-619,0.1
34,295,-260,0.1
34,96,-92,0.1
34,67,-79,0.1
34,56,-68,0.1
224,55,-67,0.1
224,416,-392,0.1
224,618,-513,0.1
224,652,-522,0.1
224,661,-581,0.1
48,667,-627,0.1
48,326,-329,0.1
48,142,-147,0.1
48,111,-44,0.1
48,102,-99,0.1
208,101,-111,0.1
208,398,-399,0.1
208,567,-480,0.1
208,597,-557,0.1
208,605,-569,0.1
245,612,-487,0.1
245,677,-621,0.1
245,722,-685,0.1
245,728,-750,0.1
245,733,-773,0.1
100,737,-753,0.1
100,462,-445,0.1
100,297,-288,0.1
100,262,-262,0.1
100,260,-273,0.1
117,262,-268,0.1
117,284,-258,0.1
117,304,-277,0.1
117,305,-295,0.1
117,305,-272,0.1
241,307,-284,0.1
241,543,-479,0.1
241,680,-552,0.1
241,705,-655,0.1
241,713,-710,0.1
204,717,-745,0.1
204,656,-648,0.1
204,615,-601,0.1
204,606,-532,0.1
204,598,-484,0.1
91,594,-539,0.1
91,377,-363,0.1
91,250,-250,0.1
91,233,-224,0.1
91,230,-232,0.1
100,225,-220,0.1
100,237,-248,0.1
100,256,-255,0.1
100,261,-266,0.1
100,255,-249,0.1
161,248,-264,0.1
161,369,-309,0.1
161,433,-391,0.1
161,443,-422,0.1
161,442,-392,0.1
199,447,-417,0.1
199,516,-430,0.1
199,562,-497,0.1
199,572,-532,0.1
199,569,-513,0.1
104,569,-492,0.1
104,392,-350,0.1
104,292,-274,0.1
104,273,-271,0.1
104,264,-254,0.1
18,263,-249,0.1
18,107,-113,0.1
18,27,-35,0.1
18,17,-18,0.1
18,8,-4,0.1
60,2,-15,0.1
60,77,-76,0.1
60,128,-127,0.1
60,133,-155,0.1
60,134,-148,0.1
201,138,-156,0.1
201,402,-376,0.1
201,548,-444,0.1
201,574,-494,0.1
201,582,-480,0.1
115,582,-534,0.1
115,416,-393,0.1
115,322,-326,0.1
115,303,-312,0.1
115,305,-286,0.1
78,303,-297,0.1
78,228,-239,0.1
78,195,-205,0.1
78,191,-201,0.1
78,190,-189,0.1
103,187,-142,0.1
103,234,-240,0.1
103,261,-250,0.1
103,265,-246,0.1
103,257,-259,0.1
240,265,-262,0.1
240,522,-411,0.1
240,670,-536,0.1
240,700,-655,0.1
240,706,-635,0.1
252,709,-623,0.1
252,732,-710,0.1
252,745,-709,0.1
252,747,-757,0.1
252,752,-725,0.1
240,749,-722,0.1
240,730,-755,0.1
240,721,-712,0.1
240,717,-674,0.1
240,717,-733,0.1
